node_id,value
UC-UrAANdrWd64vR3zLT0fLQ,4.0
UC-rRskiz3mp5AlvYcqPEHmQ,5.0
UC1KjNt2pUsaCNQdkVKUJLTw,4.0
UC22rsGyAsk0sOmlPZKF9HxQ,7.0
UC2STGn4b0zKr1e8cGM4Opug,4.0
UC2tN1-xZ4ObBiHBAayhHMdQ,2.0
UC4XGBbOkk_NGMGiHiDP3M4g,4.0
UC59VtNg2F77XP5fGaO5yVtQ,6.0
UC5FZz_KAjTaVdD0fefT6nGw,4.0
UC5uKA6rsPc3eKWUF4R1QH_Q,2.0
UC7wqeVwzexXNUb25RqxtoeA,2.0
UC8O2JML-lEC2kouY0oUDkGA,2.0
UCC9y0X6UIx-Bc2SYkgRvu7A,5.0
UCC_aElcADFnfwWadqSxpJgg,2.0
UCCeNZPSPnNsl8sbCZq7OLfw,2.0
UCDZFtF4fJypJDYa-BhMhLjA,3.0
UCDhuIWSGp93rf-Ja447xArw,1.0
UCDsxuA1DmIiy0xooLXKeWAA,2.0
UCFR4ATSvY4zTEIvJWsgUmYA,2.0
UCHoFJ5ycQ3mgzd4GiYahtLA,1.0
UCI5HuU0SDQz5_msRGVL_bDg,3.0
UCJ6hBGtUmvFpMbst8pexxSQ,3.0
UCJeVrW7hE_6XSF0YAVwCs_w,2.0
UCKBS6RvtUEBSORckuOkSNhg,3.0
UCKm-0tVuXyIxV6r1OLQ51VQ,2.0
UCLA3c5qk0bParm3qWX40CJg,5.0
UCN_feWTnZG8AW_ci-b-aXzQ,2.0
UCOTNpojZReF_AQoECGIgZrQ,3.0
UCR6U02YcL6C8fhzJuroiNDw,4.0
UCS9oIZevvoVK2JcNoK-SfKQ,8.0
UCTKwpfv--NWuM7JbPCIDNhA,3.0
UCWnKEM162-YJg8JqYsqCxyw,2.0
UCXQxEwK30S3k5SHM5XngIEw,4.0
UCYYx44HmZNtlhSOwdbzb-Tg,3.0
UC_IEcnNeHc_bwd92Ber-lew,20.0
UCaFZ1zRcDTat67SQ-TYzd7Q,9.0
UCcfKFiGx5CwOkE27mXRCkPg,10.0
UCfBFyQMisjeU-Pddf3TwmJw,2.0
UCfK5oVhkM-viGtapoc3EdaA,1.0
UCfufnAy7ST0tX5fxWq-tuRg,2.0
UChFKUYpAJPhTsRBr04iQpmQ,3.0
UChHiq7goGoTL_ujdIuBPHlw,4.0
UChubFjR-bnbaLiVqAAIlx_w,2.0
UCiMSQqhxnOcLkSDXbF4kt_g,4.0
UCiSHch_bbvLK0Pbsfb5k4NA,2.0
UCjxEnwZrUj9lCy8Np0LBw3A,8.0
UCl4Hy-ZDN_Gl-GLmdpY98dg,5.0
UClwHmbmlpeJR82QwL5ro6gw,2.0
UCoG2DUkm6xZTmiEN2pma1VQ,4.0
UCr9mM_14-a5M0ffmln-rxyg,2.0
UCsbxtTxw7V1qzvvwtbxX5bA,4.0
UCt3r07eTpYZ004EBvPx19Bg,20.0
UCts3wUK0-OmftLmFBekGsEw,6.0
UCwumAj5Z6s35CnKuwI0TJFQ,7.0
UCxDk1z29ZM4UhgxYjFKOlRw,2.0
UCxE2SB315IkYAghruh7QSlg,5.0
UCxKeSTnMmMP75sM8IjFLCkQ,3.0
UCygA8Pe-WxjzynAtZhOoG2w,2.0
